time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002783,0.0158,0.0082,-0.0259,0.031
0.003743,0.0136,-0.0039,-0.0354,0.038
0.003954,0.0184,-0.0134,-0.0378,0.044
0.004071,0.0208,-0.0206,-0.0450,0.054
0.004200,0.0208,-0.0326,-0.0426,0.058
0.043797,-0.0272,-0.0320,-0.1466,0.153
0.044099,-0.0320,-0.0224,-0.1490,0.154
0.044166,-0.0296,0.0015,-0.1490,0.152
0.044223,-0.0320,0.0063,-0.1490,0.153
0.044287,-0.0344,0.0087,-0.1514,0.156
0.077814,0.0321,-0.0307,0.0072,0.045
0.118078,-0.0032,0.0059,0.0938,0.094
0.118368,-0.0104,0.0059,0.1082,0.109
0.118426,-0.0104,0.0082,0.1106,0.111
0.118476,-0.0128,-0.0013,0.1058,0.107
0.118594,-0.0224,-0.0037,0.0938,0.097
0.158272,0.0689,0.0819,-0.0436,0.116
0.198043,0.0163,0.0195,0.0136,0.029
0.198337,0.0043,0.0339,-0.0128,0.036
0.198426,0.0091,0.0195,-0.0152,0.026
0.198568,0.0019,0.0051,-0.0199,0.021
0.198677,0.0067,0.0171,-0.0295,0.035
0.227341,0.0178,0.0553,-0.0656,0.088
0.227654,0.0130,0.0648,-0.0727,0.098
0.237796,0.0542,0.0702,-0.1659,0.188
0.238048,0.0709,0.0679,-0.1635,0.191
0.238108,0.0709,0.0750,-0.1611,0.191
0.238185,0.0590,0.0702,-0.1491,0.175
0.238235,0.0613,0.0702,-0.1491,0.176
0.278725,0.0238,-0.0754,-0.0310,0.085
0.279084,0.0214,-0.0754,-0.0143,0.080
0.318680,0.0376,-0.1003,0.0392,0.114
0.331017,0.0142,-0.0872,0.0344,0.095
0.331466,0.0022,-0.0752,0.0344,0.083
0.331660,-0.0193,-0.0585,0.0536,0.082
0.331810,-0.0337,-0.0393,0.0536,0.075
0.359564,-0.0962,0.1266,0.0451,0.165
0.360064,-0.0890,0.1337,0.0403,0.166
0.399136,0.0257,-0.0417,-0.1486,0.156
0.399529,0.0233,-0.0346,-0.1486,0.154
0.440138,-0.1440,0.0199,-0.1523,0.211
0.440922,-0.1631,0.0343,-0.1667,0.236
0.441167,-0.1727,0.0439,-0.1499,0.233
0.441394,-0.1847,0.0558,-0.1356,0.236
0.441596,-0.1847,0.0606,-0.1140,0.225
0.479833,-0.1024,0.1332,0.0430,0.173
0.480416,-0.0976,0.1356,0.0262,0.169
0.480595,-0.1096,0.1596,-0.0025,0.194
0.480743,-0.1263,0.1691,-0.0169,0.212
0.480907,-0.1407,0.1739,-0.0504,0.229
0.518509,-0.0305,0.2552,-0.1650,0.305
0.519159,0.0006,0.2408,-0.1099,0.265
0.519322,0.0293,0.2288,-0.0620,0.239
0.519460,0.0653,0.2097,0.0242,0.221
0.519861,0.1012,0.1881,0.1080,0.239
0.558377,0.3295,-0.0828,0.2930,0.449
0.558949,0.4133,-0.2672,0.3026,0.578
0.559040,0.4061,-0.0733,0.2236,0.469
0.559134,0.4444,0.0512,0.1877,0.485
0.559214,0.4181,0.0896,0.1518,0.454
0.579489,0.5168,0.0673,-0.0660,0.525
0.579818,0.5408,0.1056,-0.1019,0.560
0.580099,0.5336,0.1032,-0.1163,0.556
0.599290,0.4319,0.0347,-0.0451,0.436
0.599655,0.4152,0.0275,-0.0522,0.419
0.599753,0.3865,0.0251,-0.0522,0.391
0.599849,0.3505,0.0251,-0.0594,0.356
0.599949,0.3170,0.0299,-0.0738,0.327
0.638421,-0.0384,-0.0336,-0.0407,0.065
0.638819,-0.0312,-0.0432,-0.0096,0.054
0.638897,-0.0217,-0.0600,0.0431,0.077
0.638963,-0.0097,-0.0767,0.0910,0.119
0.639027,-0.0025,-0.0935,0.1484,0.175
0.679810,-0.0911,-0.2055,-0.1354,0.262
0.680291,-0.1126,-0.1863,-0.1785,0.282
0.680421,-0.1366,-0.1696,-0.2096,0.302
0.680545,-0.1677,-0.1456,-0.2527,0.336
0.680661,-0.1868,-0.1145,-0.2695,0.347
0.718789,-0.2145,-0.0613,-0.0643,0.232
0.719147,-0.2145,-0.0733,-0.0117,0.227
0.719246,-0.2145,-0.0757,0.0314,0.230
0.719324,-0.2169,-0.0829,0.0482,0.237
0.719415,-0.2312,-0.0877,0.0650,0.256
0.759703,-0.1446,-0.2212,-0.1591,0.308
0.768457,-0.1360,-0.2334,-0.1627,0.315
0.768780,-0.1504,-0.2071,-0.1723,0.309
0.768918,-0.1719,-0.1592,-0.1723,0.291
0.769016,-0.2126,-0.0586,-0.1915,0.292
0.798716,-0.6751,0.0848,0.0711,0.684
0.799038,-0.6392,0.0226,0.1046,0.648
0.799136,-0.6320,-0.0229,0.1214,0.644
0.799255,-0.5697,-0.0923,0.1190,0.589
0.799352,-0.5290,-0.1546,0.1118,0.562
0.839202,0.2301,-0.3171,-0.2628,0.472
0.839703,0.2133,-0.2812,-0.2532,0.434
0.839841,0.1966,-0.2669,-0.2508,0.416
0.839991,0.1894,-0.2740,-0.2197,0.399
0.840133,0.1678,-0.2597,-0.1790,0.357
0.879251,-0.0600,-0.0580,-0.1849,0.203
0.879820,-0.0337,-0.0245,-0.2113,0.215
0.880076,-0.0049,0.0019,-0.2424,0.242
0.880295,0.0334,0.0354,-0.2735,0.278
0.880508,0.0549,0.0737,-0.2855,0.300
0.919457,0.1286,0.2486,-0.1010,0.298
0.920225,0.1334,0.2438,-0.0962,0.294
0.920395,0.1286,0.2462,-0.0986,0.295
0.920541,0.1525,0.2438,-0.1130,0.309
0.920843,0.1741,0.2486,-0.1369,0.333
0.931174,0.1770,0.2375,-0.1547,0.334
0.931606,0.2034,0.2303,-0.1858,0.359
0.931720,0.2369,0.2303,-0.2098,0.391
0.931820,0.2752,0.2351,-0.2313,0.430
0.974943,0.3154,0.3937,-0.1244,0.520
0.975365,0.2531,0.3865,-0.1101,0.475
0.975507,0.1909,0.3889,-0.1029,0.445
0.975615,0.1286,0.3865,-0.0933,0.418
0.975730,0.0855,0.3841,-0.0670,0.399
1.015465,-0.0159,0.2524,0.2587,0.362
1.025987,-0.0209,0.2451,0.3054,0.392
1.026221,-0.0448,0.2140,0.3509,0.413
1.026287,-0.0640,0.2068,0.3772,0.435
1.026395,-0.0927,0.2020,0.4083,0.465
1.055078,-0.6266,0.0981,-0.1354,0.649
1.055418,-0.6362,0.0957,-0.1593,0.663
1.055581,-0.6505,0.1029,-0.1593,0.678
1.055679,-0.6433,0.1124,-0.1570,0.672
1.055841,-0.6362,0.1244,-0.1593,0.668
1.095790,-0.1223,0.1318,0.0591,0.189
1.097292,-0.0744,0.1318,0.0687,0.166
1.097523,-0.0576,0.1270,0.0926,0.167
1.097662,-0.0217,0.1222,0.1142,0.169
1.097806,0.0022,0.0983,0.1261,0.160
1.136082,0.2760,-0.2666,-0.2518,0.459
1.137067,0.3143,-0.2762,-0.2470,0.486
1.137308,0.3574,-0.2930,-0.2255,0.514
1.137387,0.3909,-0.3026,-0.2470,0.553
1.137988,0.4101,-0.2978,-0.2518,0.566
1.175383,0.5112,-0.3195,0.2037,0.636
1.175697,0.4897,-0.3147,0.1822,0.610
1.175790,0.4585,-0.2907,0.1558,0.565
1.175870,0.4322,-0.2835,0.1055,0.528
1.175944,0.4035,-0.2716,0.0385,0.488
1.215494,0.4420,0.1067,0.0556,0.458
1.215871,0.4875,0.1115,0.1346,0.518
1.236015,0.6072,0.1981,0.4173,0.763
1.236486,0.6024,0.2125,0.4221,0.766
1.236597,0.5952,0.2221,0.4101,0.756
1.255720,0.2425,0.3221,0.0233,0.404
1.255980,0.2162,0.3413,-0.0078,0.404
1.256065,0.1898,0.3508,-0.0198,0.399
1.256122,0.1659,0.3724,-0.0222,0.408
1.256184,0.1276,0.3963,-0.0222,0.417
1.295935,-0.1950,0.2412,-0.3277,0.451
1.296486,-0.1854,0.2197,-0.3134,0.425
1.315707,-0.0756,0.0749,-0.1740,0.204
1.315966,-0.0733,0.0486,-0.1932,0.212
1.316199,-0.0613,0.0390,-0.2267,0.238
1.335523,-0.0318,0.0020,-0.2865,0.288
1.335883,-0.0294,-0.0052,-0.2793,0.281
1.335986,-0.0270,-0.0195,-0.2625,0.265
1.336063,-0.0318,-0.0363,-0.2554,0.260
1.336145,-0.0413,-0.0339,-0.2434,0.249
1.375633,0.0206,-0.0163,-0.3335,0.335
1.376018,0.0733,-0.0307,-0.2545,0.267
1.415887,0.9717,-0.3558,0.8089,1.313
1.416337,1.0172,-0.3773,0.8352,1.369
1.416500,1.0507,-0.3845,0.8663,1.415
1.416657,1.0723,-0.3821,0.8927,1.447
1.416972,1.0891,-0.3869,0.9214,1.478
1.437408,1.0273,-0.4147,0.8657,1.406
1.438096,1.0225,-0.4027,0.8370,1.381
1.438362,1.0225,-0.3812,0.8034,1.355
1.456521,0.5013,-0.0317,-0.0011,0.502
1.457056,0.4271,0.0138,-0.0490,0.430
1.497877,-0.2499,0.3331,-0.2534,0.487
1.498748,-0.2738,0.3211,-0.2127,0.473
1.499099,-0.2834,0.2995,-0.1744,0.448
1.499334,-0.2834,0.2756,-0.1313,0.417
1.499593,-0.3002,0.2517,-0.0882,0.402
1.535857,-0.2600,0.0075,0.0064,0.260
1.537059,-0.2696,0.0099,0.0088,0.270
1.537617,-0.2576,0.0219,-0.0056,0.259
1.538593,-0.2600,0.0315,-0.0080,0.262
1.540204,-0.2624,0.0434,0.0040,0.266
1.577393,-0.2199,0.2013,-0.3621,0.469
1.595645,-0.2476,0.2449,-0.2075,0.405
1.596090,-0.2643,0.2449,-0.1836,0.404
1.596199,-0.2787,0.2377,-0.1524,0.397
1.605229,-0.3094,0.2429,-0.0969,0.405
1.605542,-0.3190,0.2405,-0.0801,0.407
1.615932,-0.4079,0.1849,-0.0628,0.452
1.616214,-0.4222,0.1777,-0.0819,0.465
1.656062,-0.3001,0.0465,-0.2098,0.369
1.656498,-0.3049,0.0441,-0.1859,0.360
1.676570,-0.3543,0.0487,-0.1971,0.408
1.677108,-0.3662,0.0582,-0.2042,0.423
1.677327,-0.3974,0.0606,-0.2114,0.454
1.684981,-0.4162,0.0764,-0.2344,0.484
1.685433,-0.4282,0.0788,-0.2488,0.501
1.695835,-0.4433,0.0875,-0.2713,0.527
1.696307,-0.4481,0.0971,-0.2832,0.539
1.696522,-0.4553,0.0971,-0.2880,0.547
1.696710,-0.4481,0.1067,-0.2856,0.542
1.696923,-0.4409,0.1091,-0.2952,0.542
1.738280,-0.2367,0.0416,-0.2435,0.342
1.739199,-0.2176,0.0296,-0.2387,0.324
1.739607,-0.1912,0.0129,-0.2267,0.297
1.739753,-0.1745,-0.0087,-0.1980,0.264
1.739894,-0.1649,-0.0231,-0.1741,0.241
1.746454,-0.1092,-0.0527,-0.1085,0.163
1.775626,-0.0461,-0.1863,-0.0740,0.206
1.776250,-0.0509,-0.1863,-0.0859,0.211
1.776495,-0.0461,-0.1743,-0.0979,0.205
1.776725,-0.0365,-0.1887,-0.1051,0.219
1.776923,-0.0485,-0.2006,-0.1266,0.242
1.816145,0.1656,-0.1739,0.0645,0.249
1.816538,0.1871,-0.1858,0.0669,0.272
1.816722,0.2063,-0.1763,0.0669,0.279
1.816846,0.2254,-0.1715,0.0645,0.291
1.816982,0.2302,-0.1571,0.0645,0.286
1.831964,0.2528,-0.1589,0.0681,0.306
1.832559,0.2719,-0.1517,0.0872,0.323
1.832701,0.2791,-0.1397,0.0848,0.323
1.833200,0.2935,-0.1230,0.0968,0.333
1.857019,0.3697,-0.0124,0.0839,0.379
1.857611,0.3817,-0.0052,0.0959,0.394
1.857894,0.3745,0.0019,0.0767,0.382
1.858117,0.3865,0.0067,0.0671,0.392
1.858346,0.3912,0.0187,0.0600,0.396
1.896347,0.3685,0.1057,-0.1453,0.410
1.896910,0.3829,0.1129,-0.1429,0.424
1.897065,0.4020,0.1153,-0.1405,0.441
1.897732,0.4164,0.1297,-0.1238,0.453
1.897924,0.4260,0.1273,-0.1094,0.458
1.935621,0.3623,0.1893,0.0552,0.413
1.976312,0.2439,0.0926,0.0421,0.264
1.976804,0.2391,0.0902,0.0445,0.259
1.976985,0.2391,0.0878,0.0421,0.258
1.977132,0.2271,0.0639,0.0421,0.240
1.977326,0.2295,0.0639,0.0373,0.241
2.005202,0.1553,0.0192,-0.0248,0.158
2.005526,0.1529,0.0192,-0.0128,0.155
2.015754,0.1101,-0.0003,0.0241,0.113
2.016374,0.0981,0.0141,0.0169,0.101
2.016502,0.0814,-0.0051,0.0145,0.083
2.016592,0.0790,-0.0218,0.0193,0.084
2.016679,0.0742,-0.0218,0.0361,0.085
2.036107,0.0299,-0.0597,0.0611,0.091
2.036482,0.0155,-0.0621,0.0659,0.092
2.036606,-0.0013,-0.0789,0.0468,0.092
2.056051,-0.1983,-0.0765,0.0048,0.213
2.056345,-0.2246,-0.0789,-0.0096,0.238
2.056410,-0.2534,-0.0813,-0.0144,0.266
2.056475,-0.2773,-0.0813,-0.0192,0.290
2.056523,-0.3037,-0.0717,-0.0192,0.313
2.096204,-0.5966,-0.0075,-0.2718,0.656
2.096600,-0.5990,-0.0027,-0.2957,0.668
2.096715,-0.6109,-0.0003,-0.2981,0.680
2.096808,-0.6181,0.0164,-0.2813,0.679
2.096897,-0.6157,0.0212,-0.2861,0.679
2.116346,-0.5385,0.0083,-0.1595,0.562
2.116654,-0.5218,-0.0013,-0.1428,0.541
2.116786,-0.5026,-0.0109,-0.1141,0.516
2.136745,-0.3920,-0.0902,-0.0179,0.403
2.137149,-0.3944,-0.1022,-0.0322,0.409
2.177941,-0.2016,0.0059,-0.1296,0.240
2.178310,-0.1920,0.0083,-0.1153,0.224
2.216424,0.0177,0.0788,-0.0088,0.081
2.216698,0.0272,0.0836,-0.0064,0.088
2.216771,0.0296,0.0884,-0.0064,0.093
2.216851,0.0416,0.0955,-0.0088,0.105
2.216916,0.0560,0.1003,-0.0112,0.115
2.256136,0.1139,0.1616,-0.0678,0.209
2.256541,0.1234,0.1664,-0.0678,0.218
2.256651,0.1234,0.1712,-0.0630,0.220
2.256753,0.1210,0.1760,-0.0630,0.223
2.256852,0.1306,0.1736,-0.0510,0.223
2.296849,0.0641,0.1405,0.0123,0.155
2.297378,0.0665,0.1357,0.0027,0.151
2.316539,0.0785,0.1194,-0.0243,0.145
2.316975,0.0976,0.1241,-0.0291,0.161
2.317157,0.1024,0.1122,-0.0267,0.154
2.338846,0.1635,0.0524,0.0632,0.183
2.339789,0.1587,0.0404,0.0489,0.171
2.356736,0.1631,-0.0278,0.0354,0.169
2.357221,0.1535,-0.0302,0.0234,0.158
2.357392,0.1559,-0.0374,0.0186,0.161
2.376838,0.1074,-0.1363,-0.0365,0.177
2.377235,0.1074,-0.1387,-0.0317,0.178
2.416690,0.0751,-0.2280,0.0042,0.240
2.417156,0.0751,-0.2208,0.0018,0.233
2.417304,0.0847,-0.2184,-0.0006,0.234
2.417426,0.0799,-0.2208,-0.0077,0.235
2.417567,0.0703,-0.2256,-0.0054,0.236
2.457528,0.0444,-0.1256,-0.0008,0.133
2.458298,0.0444,-0.1040,-0.0032,0.113
2.458494,0.0492,-0.0944,-0.0056,0.107
2.459240,0.0540,-0.0825,-0.0056,0.099
2.459442,0.0612,-0.0705,-0.0224,0.096
2.486502,0.0942,-0.0003,-0.0294,0.099
2.487459,0.1014,0.0045,-0.0031,0.102
2.497051,0.1015,0.0176,0.0218,0.105
2.497928,0.1159,0.0272,0.0410,0.126
2.498139,0.1183,0.0272,0.0577,0.134
2.498271,0.1159,0.0319,0.0505,0.130
2.498414,0.1183,0.0319,0.0505,0.133
2.508047,0.1216,0.0337,0.0589,0.139
2.508641,0.1335,0.0265,0.0445,0.143
2.508804,0.1359,0.0241,0.0398,0.144
2.508962,0.1431,0.0170,0.0134,0.145
2.544319,0.1376,0.0276,-0.1246,0.188
2.545333,0.1400,0.0396,-0.0983,0.176
2.545590,0.1472,0.0444,-0.0767,0.172
2.545840,0.1543,0.0468,-0.0360,0.165
2.546043,0.1543,0.0396,-0.0001,0.159
2.577051,0.1676,0.0004,-0.0481,0.174
2.577848,0.1580,0.0148,-0.0553,0.168
2.618330,0.1429,0.1009,-0.0491,0.182
2.619527,0.1405,0.1081,-0.0467,0.183
2.620331,0.1501,0.1153,-0.0443,0.194
2.620576,0.1597,0.1225,-0.0324,0.204
2.620948,0.1669,0.1249,-0.0276,0.210
2.657201,0.1824,0.1235,0.1094,0.246
2.658019,0.1800,0.1139,0.1142,0.242
2.658122,0.1752,0.1115,0.1070,0.234
2.658226,0.1704,0.1044,0.1094,0.228
2.658325,0.1704,0.0948,0.1023,0.220
2.666068,0.1620,0.0869,0.0899,0.205
2.666882,0.1501,0.0893,0.0875,0.195
2.667024,0.1381,0.0845,0.0660,0.175
2.667165,0.1309,0.0701,0.0588,0.160
2.698641,0.0251,0.0632,-0.0850,0.109
2.699378,0.0155,0.0488,-0.0946,0.108
2.726254,0.0177,0.0298,-0.0780,0.085
2.726971,0.0106,0.0298,-0.0780,0.084
2.742331,0.0095,-0.0302,-0.0297,0.043
2.743418,-0.0072,-0.0350,-0.0226,0.042
2.778271,-0.0899,-0.0753,-0.0926,0.149
2.779584,-0.0947,-0.0729,-0.0974,0.154
2.796968,-0.0862,-0.0608,-0.0874,0.137
2.797760,-0.0838,-0.0679,-0.0682,0.128
2.798030,-0.0814,-0.0632,-0.0658,0.122
2.817654,-0.0725,-0.0735,0.0616,0.120
2.818773,-0.0845,-0.0663,0.0520,0.119
2.827198,-0.0936,-0.0652,0.0594,0.129
2.827747,-0.0983,-0.0652,0.0402,0.125
2.833184,-0.1007,-0.0675,0.0234,0.124
2.833545,-0.1127,-0.0652,0.0043,0.130
2.851237,-0.1510,-0.0424,-0.1082,0.191
2.852135,-0.1534,-0.0424,-0.1465,0.216
2.858464,-0.1521,0.0034,-0.1653,0.225
2.859385,-0.1306,0.0082,-0.1749,0.218
2.886835,-0.0647,0.0431,-0.0651,0.101
2.887686,-0.0623,0.0431,-0.0531,0.093
2.899003,-0.0478,0.0317,-0.0148,0.059
2.899711,-0.0454,0.0317,-0.0076,0.056
2.899917,-0.0382,0.0222,0.0044,0.044
2.900167,-0.0382,0.0246,-0.0028,0.045
2.900350,-0.0454,0.0269,0.0092,0.054
2.917870,-0.0366,0.0263,0.0010,0.045
2.918696,-0.0342,0.0334,-0.0062,0.048
2.918968,-0.0318,0.0382,-0.0086,0.050
2.949215,0.0061,0.0746,-0.0269,0.080
2.950091,0.0085,0.0746,-0.0174,0.077
2.950338,0.0156,0.0746,-0.0174,0.078
2.977487,0.0579,0.0743,0.0192,0.096
2.978337,0.0579,0.0671,0.0216,0.091
2.978779,0.0651,0.0719,0.0192,0.099
2.979089,0.0794,0.0671,0.0192,0.106
2.979331,0.0890,0.0575,0.0216,0.108
3.017482,0.1766,0.0315,-0.0321,0.182
3.018304,0.1814,0.0220,-0.0297,0.185
3.018771,0.1766,0.0196,-0.0201,0.179
3.019025,0.1886,0.0148,-0.0130,0.190
3.019310,0.1957,0.0148,0.0014,0.196
3.057920,0.1260,-0.0316,-0.0033,0.130
3.058764,0.1188,-0.0269,-0.0081,0.122
3.059000,0.1068,-0.0388,-0.0081,0.114
3.059155,0.1068,-0.0436,-0.0248,0.118
3.059328,0.1068,-0.0340,-0.0272,0.115
3.099382,0.0548,-0.0161,-0.0278,0.064
3.141999,-0.0803,0.0005,-0.0762,0.111
3.142879,-0.0875,-0.0019,-0.0690,0.111
3.146891,-0.0790,0.0025,-0.0782,0.111
3.147244,-0.0838,0.0073,-0.0973,0.129
3.147399,-0.0886,0.0145,-0.0782,0.119
3.147551,-0.0957,0.0169,-0.0638,0.116
3.157812,-0.0920,0.0141,-0.0443,0.103
3.158467,-0.0848,0.0237,-0.0299,0.093
3.158748,-0.0729,0.0213,-0.0275,0.081
3.177502,-0.0692,0.0137,-0.0024,0.071
3.217025,-0.0717,-0.0001,-0.1877,0.201
3.217354,-0.0621,-0.0025,-0.1925,0.202
3.217447,-0.0741,0.0023,-0.1877,0.202
3.217526,-0.0693,-0.0049,-0.1949,0.207
3.217605,-0.0597,-0.0025,-0.1997,0.208
3.237588,-0.0126,0.0188,-0.0955,0.098
3.237979,-0.0174,0.0164,-0.0452,0.051
3.238059,-0.0174,0.0093,-0.0117,0.023
3.257138,-0.0705,-0.0771,0.0615,0.121
3.257445,-0.0609,-0.0867,0.0519,0.118
3.257514,-0.0681,-0.0891,0.0447,0.121
3.257577,-0.0681,-0.0891,0.0351,0.118
3.257631,-0.0801,-0.0891,0.0016,0.120
3.297787,-0.0525,0.0113,-0.1912,0.199
3.298269,-0.0285,0.0233,-0.1601,0.164
3.298431,-0.0166,0.0352,-0.1337,0.139
3.298688,-0.0070,0.0280,-0.1050,0.109
3.298972,0.0145,0.0400,-0.0715,0.083
3.318581,0.0629,0.0806,0.0460,0.112
3.319143,0.0748,0.0566,0.0579,0.110
3.319314,0.0820,0.0734,0.0699,0.130
3.339852,0.0585,0.0500,0.0023,0.077
3.357573,0.0346,0.0450,-0.0391,0.069
3.358509,0.0394,0.0473,-0.0607,0.086
3.358842,0.0442,0.0521,-0.0703,0.098
3.377301,0.0924,0.0304,-0.0845,0.129
3.378034,0.0971,0.0232,-0.0893,0.134
3.378189,0.1019,0.0160,-0.0893,0.136
3.378311,0.0995,0.0136,-0.0798,0.128
3.378417,0.0995,0.0208,-0.0726,0.125
3.389397,0.1072,0.0124,-0.0652,0.126
3.389831,0.1120,0.0052,-0.0604,0.127
3.390014,0.1096,-0.0163,-0.0652,0.129
3.390180,0.1096,-0.0259,-0.0485,0.123
3.418787,0.0366,-0.0592,-0.0792,0.105
3.419801,0.0390,-0.0592,-0.0840,0.110
3.459010,-0.0019,-0.0139,-0.0522,0.054
3.498146,-0.0304,0.0044,-0.0945,0.099
3.499362,-0.0304,-0.0028,-0.0825,0.088
3.499667,-0.0232,0.0068,-0.0777,0.081
3.499914,-0.0088,0.0020,-0.0705,0.071
3.500150,-0.0088,-0.0028,-0.0586,0.059
3.538100,0.0098,-0.0107,-0.1083,0.109
3.539125,0.0002,0.0012,-0.1274,0.127
3.567237,-0.0129,0.0106,-0.1495,0.150
3.568221,-0.0033,0.0226,-0.1327,0.135
3.579198,0.0273,0.0189,-0.1105,0.115
3.580283,0.0225,0.0166,-0.1105,0.114
3.580591,0.0369,0.0166,-0.0938,0.102
3.580825,0.0369,0.0237,-0.0770,0.089
3.581052,0.0537,0.0166,-0.0627,0.084
3.608563,0.0354,-0.0173,-0.0065,0.040
3.626438,0.0162,-0.0036,-0.0305,0.035
3.627391,0.0138,-0.0012,-0.0257,0.029
3.627750,0.0042,0.0012,-0.0185,0.019
3.628259,-0.0030,0.0036,-0.0209,0.021
3.628475,-0.0054,0.0084,-0.0137,0.017
3.658185,-0.0016,0.0314,-0.0619,0.069
3.659430,-0.0064,0.0290,-0.0499,0.058
3.699029,-0.0426,-0.0377,-0.0596,0.082
3.700307,-0.0473,-0.0281,-0.0596,0.081
3.739601,0.0044,-0.0222,-0.0743,0.078
3.741094,0.0068,-0.0270,-0.0767,0.082
3.749201,-0.0055,-0.0290,-0.0648,0.071
3.749899,-0.0007,-0.0338,-0.0624,0.071
3.750186,0.0041,-0.0362,-0.0480,0.060
3.750426,0.0017,-0.0410,-0.0528,0.067
3.779183,-0.0406,-0.0313,-0.0749,0.091
3.818730,0.0344,0.0209,-0.0019,0.040
3.820139,0.0344,0.0233,0.0077,0.042
3.820445,0.0296,0.0185,0.0101,0.036
3.821081,0.0200,0.0089,0.0244,0.033
3.821346,0.0176,0.0161,0.0244,0.034
3.858125,-0.0677,0.0522,-0.1013,0.133
3.859443,-0.0461,0.0642,-0.0965,0.125
3.899076,0.1376,0.0277,0.0308,0.144
3.900401,0.1424,0.0205,0.0452,0.151
3.901103,0.1400,-0.0034,0.0548,0.150
3.901377,0.1280,-0.0106,0.0643,0.144
3.901587,0.1280,-0.0106,0.0691,0.146
3.908471,0.1271,-0.0228,0.0600,0.142
3.908970,0.1247,-0.0276,0.0528,0.138
3.909210,0.1103,-0.0396,0.0433,0.125
3.909412,0.0912,-0.0467,0.0193,0.104
3.939580,-0.0026,0.0067,-0.1708,0.171
3.940746,0.0022,0.0090,-0.1540,0.154
3.979046,-0.0500,-0.0913,-0.0302,0.108
3.980615,-0.0572,-0.0960,-0.0518,0.123
3.981024,-0.0620,-0.0888,-0.0709,0.129
3.981265,-0.0740,-0.0888,-0.0805,0.141
3.981529,-0.0788,-0.0864,-0.0949,0.151
4.018330,-0.0107,0.0136,-0.0897,0.091
4.020250,0.0109,0.0136,-0.0729,0.075
4.020608,0.0252,-0.0007,-0.0490,0.055
4.020871,0.0372,0.0184,-0.0274,0.050
4.021101,0.0444,0.0184,-0.0179,0.051
4.037515,0.0567,0.0228,-0.0058,0.061
4.038246,0.0734,0.0180,0.0158,0.077
4.038432,0.0830,0.0060,0.0205,0.086
4.038767,0.0830,0.0132,0.0301,0.089
4.048493,0.0795,0.0187,0.0346,0.089
4.049386,0.0723,0.0163,0.0322,0.081
4.058706,0.0448,0.0044,0.0151,0.047
4.059372,0.0352,0.0140,0.0223,0.044
4.059660,0.0256,0.0044,0.0223,0.034
4.059900,0.0448,0.0020,0.0151,0.047
4.060108,0.0304,0.0092,0.0079,0.033
4.078371,0.0308,0.0055,-0.0694,0.076
4.079212,0.0284,0.0079,-0.0813,0.087
4.079399,0.0284,0.0103,-0.0837,0.089
4.098725,0.0414,0.0158,-0.0746,0.087
4.099817,0.0414,0.0111,-0.0698,0.082
4.100124,0.0366,0.0135,-0.0650,0.076
4.100359,0.0438,0.0182,-0.0602,0.077
4.100613,0.0318,0.0182,-0.0531,0.065
4.139651,-0.0362,-0.0340,-0.0821,0.096
4.140773,-0.0338,-0.0196,-0.0749,0.085
4.150279,-0.0175,-0.0292,-0.0679,0.076
4.178445,0.0143,-0.0279,-0.0325,0.045
4.179512,0.0168,-0.0207,-0.0469,0.054
4.179772,0.0120,-0.0255,-0.0564,0.063
4.179969,0.0072,-0.0207,-0.0612,0.065
4.180172,0.0024,-0.0183,-0.0708,0.073
4.222788,-0.0102,-0.0158,-0.0327,0.038
4.223933,-0.0126,-0.0277,-0.0135,0.033
4.224217,-0.0054,-0.0205,0.0081,0.023
4.224496,0.0018,-0.0181,0.0104,0.021
4.224718,0.0089,-0.0253,0.0128,0.030
4.259000,0.0270,-0.0100,-0.1168,0.120
4.298325,0.0210,0.0120,-0.0381,0.045
4.298987,0.0234,0.0144,-0.0357,0.045
4.299069,0.0281,0.0120,-0.0309,0.044
4.299128,0.0305,0.0215,-0.0214,0.043
4.299194,0.0353,0.0215,-0.0142,0.044
4.337929,0.0505,0.0294,-0.0131,0.060
4.339071,0.0456,0.0270,-0.0155,0.055
4.339283,0.0432,0.0270,-0.0131,0.053
4.339415,0.0408,0.0365,0.0013,0.055
4.339559,0.0240,0.0341,0.0036,0.042
4.358488,0.0042,0.0227,-0.0469,0.052
4.359226,0.0018,0.0251,-0.0301,0.039
4.359403,0.0042,0.0179,-0.0325,0.037
4.368025,-0.0057,0.0172,-0.0493,0.053
4.368572,0.0015,0.0220,-0.0541,0.058
4.380117,-0.0012,0.0196,-0.0494,0.053
4.380873,-0.0036,0.0005,-0.0470,0.047
4.381083,-0.0059,0.0125,-0.0518,0.054
4.381268,-0.0036,0.0220,-0.0518,0.056
4.381434,-0.0083,0.0172,-0.0399,0.044
4.398364,0.0059,-0.0040,-0.0614,0.062
4.399100,0.0155,-0.0088,-0.0638,0.066
4.399254,0.0059,-0.0160,-0.0710,0.073
4.407902,0.0231,-0.0179,-0.0541,0.061
4.408306,0.0183,-0.0155,-0.0517,0.057
4.422980,0.0089,-0.0204,-0.0445,0.050
4.424146,0.0113,-0.0252,-0.0421,0.050
